class_name;project_name;class_id;class_path;sonar_td_minutes;squore_td_minutes;cast_td_minutes;commits_count;code_churn_avg;contributors_count;contributors_experience;hunks_count;issue_tracker_issues;cbo;wmc;dit;rfc;lcom;total_methods;max_nested_blocks;total_variables;total_refactorings;duplicated_lines;comment_lines;ncloc;high-TD
CommandJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWh;xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/jobhandler/CommandJobHandler.java;46;57.5;1029.9;2;27;1;100;2;1;3;5;2;10;0;1;2;6;6;40;8;37;0
CommandJobHandler.java;xxl-job;AW-Z3VGXrInABnR0cIWu;xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/jobhandler/CommandJobHandler.java;46;57.5;1029.9;1;54;1;100;1;1;3;5;2;10;0;1;2;6;0;40;8;37;0
ExecutorRouteConsistentHash.java;xxl-job;AW-Z3VGarInABnR0cIXt;xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteConsistentHash.java;46;10;868.2;8;11;2;52.05;2.5;2;5;8;2;16;3;3;2;12;12;0;15;56;0
JobCodeController.java;xxl-job;AW-Z3VGbrInABnR0cIYK;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobCodeController.java;45;45;531.9;19;5;2;82.26;2;1;13;8;1;24;0;2;1;6;31;0;10;69;0
ExecutorBizImpl.java;xxl-job;AW-Z3VGdrInABnR0cIY4;xxl-job-core/src/main/java/com/xxl/job/core/biz/impl/ExecutorBizImpl.java;40;90;1445.4;24;7;6;88.53;2;11;15;33;1;26;10;5;3;14;41;0;24;121;0
JFinalCoreConfig.java;xxl-job;AW-Z3VGYrInABnR0cIWx;xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/config/JFinalCoreConfig.java;40;0;1180.2;5;18;1;100;2;0;15;11;2;19;34;9;1;3;0;20;9;60;0
I18nUtil.java;xxl-job;AW-Z3VGarInABnR0cIX3;xxl-job-admin/src/main/java/com/xxl/job/admin/core/util/I18nUtil.java;38;10;656.4;14;6;1;100;1.5;8;7;11;1;14;1;3;2;9;0;0;19;51;0
FtlUtil.java;xxl-job;AW-Z3VGbrInABnR0cIX6;xxl-job-admin/src/main/java/com/xxl/job/admin/core/util/FtlUtil.java;37;10;635.4;3;10;1;100;3;0;5;2;1;6;0;1;1;4;0;0;5;21;0
JobInfoController.java;xxl-job;AW-Z3VGbrInABnR0cIYJ;xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java;36;17.5;1587.6;59;4;2;71.91;2;5;21;25;1;31;25;11;4;12;222;0;9;135;0
LocalCacheUtil.java;xxl-job;AW-Z3VGarInABnR0cIX5;xxl-job-admin/src/main/java/com/xxl/job/admin/core/util/LocalCacheUtil.java;36;50;989.4;6;22;2;97.35;2;0;2;18;1;13;0;4;3;5;4;0;32;82;0
